slug	hitid	workerid
Room15_softsoap_clear_1	3N7PQ0KLI5P6F6V4OWFLHM99UXUE3S	AZMJHIX05LZ7D
FB209_2_chair1	3511RHPADVEC4EQYG83LCF29992LRJ	A142196DZICV3F
FB209_2_refrigerator1_1	3IVEC1GSLPZIGJ3HFTCTQ9741M3J1J	A17ENA1NWHB0CL
FB209_2_refrigerator1_2	34F34TZU7WZP54LDYXC7VSH9TSHJ20	A3N0AM1XWKXOS0
FB209_2_refrigerator1_3	3OWZNK3RYLPYJKW7AWGL2UQKA8GU28	AIOF4ZQQ9UDZ4
FB209_2_table1	33NKDW9FFXI3Y6I4CUGEYEYAGHACXR	A152473CBYVS7
Room15_chair1_1	3R868ACW4SC5KDYOFY0ILQZ0M91GZ3	A260D7YV6ZQDZO
Room15_chair1_2	3LG268AV386YY8G6ZMGHZKCP0C1RE2	A27H1DRVN468DS
Room15_chair1_3	3BFNCI9LYKQL6RGU1O1FBCHS8BJ37Q	AE861G0AY5RGT
Room15_chair1_4	3B9XR6P1WEVJTHL9HQ5IWLKDNYWBJW	AAC5XT7UY7B2K
Room15_chair2_1	3QGTX7BCHP274G94Y2HRHT8BW0N5ZA	A3N0AM1XWKXOS0
Room15_chair2_2	3B623HUYJ4QTQM6S18UMXKLZBBO8SA	AE861G0AY5RGT
Room15_chair2_3	3NI0WFPPI9G6LZ3SZRE430JPAOF60Z	A11HVP5RIG92VD
Room15_chair2_4	3D1UCPY6GG9P65LDBTTLPCDNJVP38D	A1C7UV2UT2S9T7
Room15_chair3_1	3ACRLU860NEBI1ZH3PURZ57LIQ0EBE	AE861G0AY5RGT
Room15_chair3_2	3ZC62PVYDHAR14TZ3QC1CRJKHZYXXE	AE861G0AY5RGT
Room15_chair3_3	3PEG1BH7AERE41RRZB5UX0KQ2NWBKV	A1C7UV2UT2S9T7
Room15_chair3_4	3FVBZG9CLJEMION9VA580R8FJ2VH0B	AU2C0Q45DVGJO
Room15_chair3_5	338431Z1FLFKAZTVT0JD4W634E8RO7	A33OJZ5UMWN20U
Room15_chair4_1	3UXQ63NLAAMPO799KBHVC0X5RN1BLY	A1Z2PWNOI7DAM4
Room15_chair4_2	3DWGDA5POF4R7E3BWIQCTXIYW9BV1H	A2GGOFEYHTHGBT
Room15_chair4_3	3Z8UJEJOCZDPKA4NGLZZP88Y317392	A3N0AM1XWKXOS0
Room15_chair4_4	3H1C3QRA01JUS6RNHPQMAPD30B0ECL	AD5E77DD6RN5C
Room15_chair5_1	372AGES0I457487NUR69N9XWGIERXD	AU2C0Q45DVGJO
Room15_chair5_2	3D7VY91L65X9UPRUKNIACDCURSRBM0	A1C0H8G0YI15MN
Room15_chair5_3	3I4E7AFQ2KZJP3FQHCW3WFQZT5WJTU	A2F9V69F6TZIAB
Room15_chair5_4	3ZG552ORAM4YWZL7FMQQYGS3OFPV2Y	A2DKCKVLYRZQCT
Room15_chair5_5	3OEWW2KGQJBQ9PAQBZOTZ7PZPDHDON	ABBJOZRIPLPW1
Room15_monitor1_1	3DFYDSXB2W0YPGUFHHMD1BC1CJ3JUL	A2VFYG4H9B4HBT
Room15_monitor1_2	3NCN4N1H1GHFC7CUWOXAPS1UWI1BN0	A2NNADV798N5KT
Room15_monitor1_3	3J5XXLQDHMBNHHHQJM4VHQXVUTPV39	A2ZHFT828PSIR2
Room15_monitor1_4	3VIVIU06FKCJHX50QXARY0G7MIBMIK	A25Z0BU91NJBW4
Room15_monitor1_5	3HUR21WDDUPG19J98MY3V5QTJ5SXYK	A3BJTYGNU3K82A
Room15_monitor2_1	3ZFRE2BDQ9EG6ZTE480M9CZVPZWXZB	A11HVP5RIG92VD
Room15_monitor2_2	3S4TINXCC0NXUSC6X3XN4H1ZMS6BOF	A25Z0BU91NJBW4
Room15_monitor2_3	3KA7IJSNW65FFSO7C3A2TH6PWX2BPW	AE861G0AY5RGT
Room15_monitor2_4	3EHVO81VN5LMPD8RRT98EWRPOU1H1E	AE861G0AY5RGT
Room15_monitor2_5	33CLA8O0MIBQ4MG2UX0NH2XPCDGRFK	A8WK3FWYVREUH
Room15_monitor2_6	3SA4EMRVJV2EV5LXENDD90A65T50PZ	A2GLO2ONQZCRXJ
Room15_monitor2_7	3PKVGQTFIHKW4DXXZNSB6N45IO8RYJ	ABBJOZRIPLPW1
Room15_refrigerator1_1	36818Z1KV3D3PTES8RDZL3JI9JP3AH	A3N0AM1XWKXOS0
Room15_refrigerator1_2	3IJ95K7NDXCB3OK5CAPOQ3SRCVSGNL	A3PMGUAC5XHORQ
Room15_refrigerator1_3	3ZVPAMTJWN3WIMCX5H65ZNX1DSGRGJ	AE861G0AY5RGT
Room15_refrigerator1_4	3QO7EE372ON0F4PMCGPRTMWZ1TOBQN	A2F9V69F6TZIAB
Room15_refrigerator1_5	38XPGNCKHT08ZD0UJ09ERVP18TLV4U	A37O2Z8CDBNUXO
Room15_refrigerator1_6	3D3B8GE892RWRZ9AEJW62BBZ8XZP90	AE861G0AY5RGT
Room15_refrigerator1_7	3VLL1PIENQOTCQFM3HDQQZ82DVROZX	AU2C0Q45DVGJO
Room15_sofa1_1	3SA4EMRVJV2EV5LXENDD90A65T4P0N	A7OVF55GAEQ30
Room15_sofa1_2	3YO4AH2FPDKZVHMCE0S2950GAPR0QQ	A1H2CXFC9FHMS3
Room15_sofa1_3	3VW0145YLYCFC8P68FVRA1V7ZX0MJW	A260D7YV6ZQDZO
Room15_sofa1_4	3IZPORCT1F9AII78PNONKN92SSTRHI	AE861G0AY5RGT
Room15_sofa1_5	371DNNCG442U5MJ7Q8ZC7PHLDU28TZ	A9KK3LO29ZIVL
Room15_sofa1_6	3NBFJK3IOHITL9KHDPP15SSW25XGO0	A3F5BI0Y1OKZ8Y
Room15_table1_1	3K3IX1W4S6RAWIJF6PA6Y6MJEFHPAF	A2BI6LJSH72Z8F
Room15_table1_2	32CXT5U14G395ZYWQDPMCL3NW898UQ	AE861G0AY5RGT
Room15_table1_3	301KG0KX9CLTEYQNAX9MJF1UG0FH2V	AE861G0AY5RGT
Room15_table1_4	3VEI3XUCZRX2VZ5W80WSTWBTEJ4RPO	A2BI6LJSH72Z8F
Room15_table1_5	31SIZS5W59FNVB6B8DBHT113JFQRQF	AU2C0Q45DVGJO
Room15_table1_6	3FSEU3P2NR0N7CLBLS0HYRB8F1SRRG	ATJ3FGZ3YP1EE
SN208_bottle1_1	3YD0MU1NC21LQCFFA3GPYKVYFOSA7H	A2GGOFEYHTHGBT
SN208_bottle1_2	3VZYA8PITOYA2V3EU84ZBU5PFWL506	A1MIR0TP081SKT
SN208_bottle1_3	3S8A4GJRD33ME0482O2TOT9F5N86VE	A2GGOFEYHTHGBT
SN208_bottle1_4	3E9ZFLPWOYSUB94444C09HW5UPBXI2	A1VAAEGFLW5EU6
SN208_bottle1_5	3Z33IC0JC0M9WJ660V55830HVOG9VS	A2F9V69F6TZIAB
SN208_bottle1_6	3TRB893CSJAM03SIW38ZU661DJ57GQ	A1MIR0TP081SKT
SN208_chair1_1	3CVBMEMMXBG00ZNTG9QHF6I2SJI7HP	ABBJOZRIPLPW1
SN208_chair1_2	3J9L0X0VDFMMB86BQ5A1U5JV2XI9W2	A3U6IA3JUSFZ2M
SN208_chair1_3	3XEDXEGFX3ODKEOH1V85DJO7CMG0KM	A27RWV7V08TXO2
SN208_chair1_4	3CVBMEMMXBG00ZNTG9QHF6I2SJHH7Y	A2F9V69F6TZIAB
SN208_chair1_5	30Z7M1Q8UYKPQQKYK88VCKRTQ8YA84	A38NFX88VZDMJ3
SN208_chair1_6	33Q5P9PUSPMS31IJDC4ZVZELPKQCZD	AEOXYOJ3II8D8
SN208_chair2_1	3TL87MO8CMPF1OLPPD3RVQOQ7OAFL8	A2F9V69F6TZIAB
SN208_chair2_2	3EN4YVUOUCSQ6KOAMMX0LIB5740XJE	A2F9V69F6TZIAB
SN208_chair2_3	3W0XM68YZPVDR39ZXEC5RO7HHEL1KP	A2GGOFEYHTHGBT
SN208_chair2_4	338GLSUI43B251GF9M0S7C2LZIHSFY	AAC5XT7UY7B2K
SN208_chair2_5	3M67TQBQQHOP4V38P0E9CGM4AEGA9T	A21G010TCSMZZ8
SN208_chair2_6	3ZRKL6Z1E838J1CAK66APX2X0XHSGX	A1H2CXFC9FHMS3
SN208_chair3_1	375VMB7D4JJGD3ZND4BOFATDE70IDM	A2GGOFEYHTHGBT
SN208_chair3_2	3ULIZ0H1VA5A9KOWQR8ZPZOZKOR519	A9FKG9WVLKVNF
SN208_chair3_3	3T6EIBTM9LO39EDDH6S98BXOGWYAA8	A2GGOFEYHTHGBT
SN208_chair3_4	3PEG1BH7AERE41RRZB5UX0KQ3QCKBR	A38NFX88VZDMJ3
SN208_chair3_5	3SNR5F7R92TL59DN9ZM8LSBYEJ1IEF	ABBJOZRIPLPW1
SN208_chair3_6	3XWUWJ18TLQ73W59TGQR8DLCU2HUUF	A1MIR0TP081SKT
SN208_chair3_7	32XN26MTXZJO4K6ZMVK6SJ1M1ML0LP	ATJ3FGZ3YP1EE
SN208_chair4_1	3IVKZBIBJ09MJX7L4COSAXEYFXUSHW	ABBJOZRIPLPW1
SN208_chair4_2	3JMNNNO3B14BBOLC5WVMKIBHWR92W4	A38NFX88VZDMJ3
SN208_chair4_3	3G57RS03HH5HY56S9V8DUIY4CU552Q	A1MIR0TP081SKT
SN208_chair4_4	3CESM1J3EI3ZTP4DSY7PAVSTCWA6WO	A1MIR0TP081SKT
SN208_chair4_5	3XUSYT70IT1568I79EMI96THSDJD0M	A21G010TCSMZZ8
SN208_chair4_6	30UZJB2POHC6JN2BDVMIDS3WI85531	AZMJHIX05LZ7D
SN208_monitor1_1	3W31J70BASWXE6JXDB1P8KQ8LBCKCY	A2DNZVHXZVH2DG
SN208_monitor1_2	3TD33TP5DL28SOI5NKS53MHUYEJAB3	A1MIR0TP081SKT
SN208_monitor1_3	3AJA9FLWSCYDBNDJ4A6E3AWYQKGIFX	A1O0XPB5GLITVQ
SN208_monitor1_4	3WGCNLZJKF85DX3P5XQINBCRX5PD1P	A2F9V69F6TZIAB
SN208_monitor1_5	3CVDZS288H0Z763APP46V33F7T0FMA	A2F9V69F6TZIAB
SN208_monitor1_6	3P458N04Q1HQ0OQ2F1R8M1PO5TF2XX	A9E9L9MWEZOPN
SN208_pottedplant1_1	3EHIMLB7F7Z40DSCQEINT6EX33NH8L	A2GGOFEYHTHGBT
